regime,candidate,n_iterations,n_dev_samples,fit_seconds,sel_objective,m2_pcc_per_sample,resid_pcc_vs_mu_ctx,resid_pcc_vs_mu_drug,m2_pcc_pooled,param_num_leaves,param_learning_rate,param_min_data_in_leaf,param_feature_fraction,param_bagging_fraction,param_bagging_freq,param_lambda_l2,param_objective,param_max_depth,param_alpha
full,deep_huber,350,207,16.4,0.533097,0.542089,0.418889,0.503429,0.663384,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
full,deep_huber,500,207,16.4,0.533469,0.542411,0.419578,0.504302,0.664021,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
chem_novel,base,50,400,10.7,0.408122,0.427816,0.383505,0.423029,0.375283,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,base,100,400,10.7,0.418123,0.43531,0.396639,0.430402,0.373329,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,base,200,400,10.7,0.422121,0.439427,0.400488,0.433841,0.374429,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,base,350,400,10.7,0.422876,0.440656,0.400651,0.434707,0.374314,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,base,500,400,10.7,0.422189,0.440275,0.399582,0.434179,0.373322,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,shallow,50,400,8.2,0.407582,0.426853,0.383493,0.422278,0.383236,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,shallow,100,400,8.2,0.414701,0.43223,0.392789,0.427517,0.382249,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,shallow,200,400,8.2,0.419337,0.436699,0.397635,0.431545,0.386841,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,shallow,350,400,8.2,0.420273,0.438642,0.397311,0.432767,0.385103,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,shallow,500,400,8.2,0.421457,0.440071,0.39819,0.433994,0.383253,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep,50,400,14.8,0.413426,0.43317,0.388744,0.427754,0.378835,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep,100,400,14.8,0.422666,0.440866,0.399917,0.434822,0.379538,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep,200,400,14.8,0.423846,0.442877,0.400057,0.436032,0.379857,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep,350,400,14.8,0.42337,0.442538,0.399409,0.435481,0.377759,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep,500,400,14.8,0.421885,0.440712,0.39835,0.433803,0.376267,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep_slow,50,400,15.7,0.392302,0.426176,0.349958,0.41615,0.378419,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep_slow,100,400,15.7,0.414707,0.434675,0.389748,0.42961,0.380294,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep_slow,200,400,15.7,0.424077,0.442152,0.401484,0.436613,0.379681,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep_slow,350,400,15.7,0.425375,0.444062,0.402016,0.437889,0.378578,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,deep_slow,500,400,15.7,0.425399,0.444431,0.40161,0.438069,0.3781,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
chem_novel,strong_l2,50,400,10.7,0.407436,0.428082,0.381627,0.422798,0.376955,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
chem_novel,strong_l2,100,400,10.7,0.417357,0.435049,0.395242,0.429643,0.37539,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
chem_novel,strong_l2,200,400,10.7,0.419908,0.438182,0.397065,0.432125,0.374117,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
chem_novel,strong_l2,350,400,10.7,0.421184,0.44011,0.397527,0.43342,0.373477,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
chem_novel,strong_l2,500,400,10.7,0.421381,0.440801,0.397107,0.433773,0.372626,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
chem_novel,low_ff,50,400,9.5,0.410724,0.431181,0.385154,0.427941,0.396888,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
chem_novel,low_ff,100,400,9.5,0.420823,0.438513,0.39871,0.434461,0.385464,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
chem_novel,low_ff,200,400,9.5,0.425724,0.443838,0.403081,0.438697,0.378457,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
chem_novel,low_ff,350,400,9.5,0.427144,0.445814,0.403807,0.440143,0.379321,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
chem_novel,low_ff,500,400,9.5,0.427792,0.446393,0.404539,0.440565,0.377597,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
chem_novel,huber,50,400,10.9,0.405497,0.429143,0.37594,0.423065,0.382803,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
chem_novel,huber,100,400,10.9,0.416325,0.436045,0.391675,0.430278,0.383647,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
chem_novel,huber,200,400,10.9,0.419787,0.43929,0.395408,0.432752,0.381496,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
